text,author,published_at,like_count
"Hard part for Mr. Jones is... Mr. Kirk's supporters hate you enough to kill you IN HIS NAME, on principle. You can't wipe the Black off. After the conversation, you're still gonna look like that. Y'all can agree, disagree, be civil or not. The racist argument has always been: ""There' s something wrong with being Black."" It is often presented in the context of criminal acts or decadent behavior. The retort from well-meaning Black people and sympathizers is therefore something like ""Well not all of us, not all Black people...,"" because you need to disown and isolate the ""bad ones."" Guess what, you can't fight racism with words. You can only fight racism with anti-racist actions. Begin by physically, mentally and emotionally embracing your race the same way your opponent does his. Chant this until you believe it: ""There is nothing wrong with being Black. There is nothing WRONG with BEING Black."" Every single dark-skinned, nappy-headed, criminal-minded, lazy, thievin' n-word, big-butted, bad mf is also included. All Black people EVER are who we are talking about. Do white people carve out an exclusive space for Charles Manson or murderous John Brown when they repeat the 14 words or practice their Christian Nationalism? No, they don't. Stop debasing yourself by allowing someone else to characterize you as inherently deficient. Argue about the things you can do something about: paying for mental health care; paying for public safety; raising kids who feel supported by and attached to their communities; who gets to read actual history books; how the US economy works (for some and against others). The amount of melanin in your skin is not a topic for debate.",@uncleedd6878,2025-10-02T18:57:58Z,0
"Really? I take in a lot of news from many sources. I’m not hearing anybody calling for civil war or violence. I don’t know where you are hearing this unless it’s in the dark recesses of the right wing media.  Charlie was a white supremacist and hate monger. Nothing can change that fact. And hate leads to violence. 
Van Jones, you are a dreamer if you think you can “debate” a white supremacist.",@jeanniebrooks,2025-10-02T18:14:44Z,0
Evil can be disguised  as truth with beautiful  lies. Its been that way since the garden . When Jesus comes  we shall know the truth.,@barbarabarlow1535,2025-10-02T16:33:42Z,0
"I am so sick of this ass+)(*ing- it is obvio, like asking a dog if they want food or to go out- if it is wrong to kill anyone or to urge it on-in fact that is illegal.  He was still a person who read scripts he was given (just like they do everyday in the WH now- like a reality show) and wanted to house women (it is hilarious how MEN all are saying ""he just wanted freedom of speech""- sorry can't ""just agree to disagree"" about my health rights being taken away- it is not debatable.  And ANDERSON you owe kathy g. an apology Whitwalker.  Because we are human and you had a personal relationship w him Van Jones- my condolences.",@LevelLevelV,2025-10-02T16:30:29Z,0
Hey  van  give us a Break ITS  THESE RACIST white peoples  who is  calling  4. A civil war not  us BLACK STRONG peoples,@robinharris7883,2025-10-02T08:40:53Z,0
All the violence and censorship and putting people in boxes and separating people that’s coming from the Democrats and don’t forget the Democrats want it slavery and the Democrats won at the Black Crow laws. OK tell him to get educated.,@DatDude-p4x,2025-10-02T07:55:15Z,0
Listen to how conceited he is dude Charlie Kirk was gonna build you up. He was gonna get way more followers and make way more money. He didn’t need you. You needed him.,@DatDude-p4x,2025-10-02T07:53:41Z,0
I wish that uncle Ben uncle Tom uncle nobody but even try to debate me I’ll make him look like a fool and I’m not saying anything. I don’t wanna make him look a fool. He’s gonna actually make himself look like a fool.,@DatDude-p4x,2025-10-02T07:51:23Z,0
"And I bet Van Jones is one of them guys who still thinks there’s racial inequality in this country. I bet he believes in white privilege. But it’s black woman privilege. If you’re a black woman, you can get a job doing anything are you gonna even gotta know it because it’s DEI I mean, dude I don’t know where you call yourself educated that’s why I don’t understand because you went to some college. I want to go out and live life. They were our graduate. I got a masters degree and a doctors degree in the school. Hard knocks and I can tell you right now there ain’t nobody in this country that believes in the racist bullshit no more OK and the only people have privileged is black women",@DatDude-p4x,2025-10-02T07:50:16Z,0
Van Jones is obviously confused because the dude that stabbed her said the reason he stabbed her was cause she was white I mean dude how are you dumb dude did you go to college? The black guy said I stabbed her because she’s white that’s racist.,@DatDude-p4x,2025-10-02T07:48:34Z,0
